iso,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
MEX,Aguascalientes,2001,3.79279461886067861,308.002330264014341
MEX,Baja California Sur,2001,500.44672578250774838,103031.7642141152032183
MEX,Baja California,2001,49.89142093982965699,3008.83067552494926765
MEX,Campeche,2001,22468.67936398305056892,7126321.1811351077502576
MEX,Chiapas,2001,20058.68920787867064185,8600312.5069602121998923
MEX,Chihuahua,2001,187.53898395406683472,23802.87068090311194363
MEX,Coahuila,2001,1209.41700388962498340,135457.5954272916265141
MEX,Colima,2001,882.19308787207946495,272975.488628400586955
MEX,Distrito Federal,2001,27.58715501288085952,12031.123431984397599
MEX,Durango,2001,310.61930878993164984,60556.3080626526947823
MEX,Guanajuato,2001,232.75361146240337728,65448.85479766326866827
MEX,Guerrero,2001,3246.08883567229151986,1229524.17954316672693084
MEX,Hidalgo,2001,2270.64293414075509543,859846.5670962941652434
MEX,Jalisco,2001,1878.21511153986351545,609801.2754069759052917
MEX,M�xico,2001,779.29013552062610741,349451.289557596537476
MEX,Michoac�n,2001,4010.20851790976586467,1705801.5335843642449915
MEX,Morelos,2001,89.03102688829211245,42694.9538647927665557
MEX,Nayarit,2001,564.21788411963848147,171448.6466760437443484
MEX,Nuevo Le�n,2001,2286.82224520924356067,172905.841432910327369
MEX,Oaxaca,2001,14108.00431447448392760,5970982.5184442415781452
MEX,Puebla,2001,1421.63981546415162532,589443.3730429300558245
MEX,Quer�taro,2001,179.38443446604381831,27900.173712737641750
MEX,Quintana Roo,2001,14254.03402144887498373,4684326.1184648691138217
MEX,San Luis Potos�,2001,2226.18725819967206661,770792.7176674571219934
MEX,Sinaloa,2001,3215.27478809435370404,808503.192786793277335
MEX,Sonora,2001,787.14965156749698548,127115.46056534034609394
MEX,Tabasco,2001,2264.95451568443478714,799851.739002861190431
MEX,Tamaulipas,2001,7389.68597049034586841,1275911.8039149033498973
MEX,Tlaxcala,2001,85.13821856406790660,38082.864310949137041
MEX,Veracruz,2001,19625.70374351488428281,6369422.1977781326907115
MEX,Yucat�n,2001,31561.76467117947682480,8536024.93723421004745124
MEX,Zacatecas,2001,127.94173226483182086,10656.3220567003808824
MEX,Aguascalientes,2002,1.50090923947048611,135.745819285189630
MEX,Baja California Sur,2002,8.52387344354926248,1736.810705548750072
MEX,Baja California,2002,613.45317297570945714,41632.3311696385494792
MEX,Campeche,2002,23278.35287998444652589,7488696.2538817745273887
MEX,Chiapas,2002,16837.69746304016796269,7180703.7081866158739586
MEX,Chihuahua,2002,744.50132009674958109,122777.93646521606886106
MEX,Coahuila,2002,1267.70694362919348241,157367.3568771093784687
MEX,Colima,2002,141.68661720177301312,41325.432249738115479
MEX,Distrito Federal,2002,6.55027124696723103,3829.89102641587033
MEX,Durango,2002,755.74687922525206558,186456.6965439223277326
MEX,Guanajuato,2002,45.24039228038085716,10559.559947068309986
MEX,Guerrero,2002,1744.98937451411632504,653329.9241585286885274
MEX,Hidalgo,2002,2132.83902191220439944,813196.8732685231167969
MEX,Jalisco,2002,470.62132289010856983,149925.3549147213482407
MEX,M�xico,2002,119.39428158716031396,57377.5349648902008763
MEX,Michoac�n,2002,1631.25597293501719085,666364.3359094955823439
MEX,Morelos,2002,14.28749178318468034,5680.064124753501219
MEX,Nayarit,2002,589.08727292829546447,173907.087561887286800
MEX,Nuevo Le�n,2002,3473.98873272414511973,286680.206913394102804
MEX,Oaxaca,2002,14737.51104655929663916,5869409.1918679959730033
MEX,Puebla,2002,1536.23082729624202972,593531.377815289679992
MEX,Quer�taro,2002,24.09213598551323786,4601.8197781519787283
MEX,Quintana Roo,2002,29472.94743275118196862,9790411.982914122400744
MEX,San Luis Potos�,2002,1657.14489181784129343,582037.1364093724791298
MEX,Sinaloa,2002,2073.38701782184316479,551686.148013409513593
MEX,Sonora,2002,618.51180357792851800,88056.5987388855590846
MEX,Tabasco,2002,3167.42187189904184639,1090537.0561978025977244
MEX,Tamaulipas,2002,6445.00372914791998593,1073734.8321102147476926
MEX,Tlaxcala,2002,37.01392931725259772,17327.83914641023241
MEX,Veracruz,2002,18999.17066228657628767,6519915.275178794730076
MEX,Yucat�n,2002,26165.77949194056794188,7382812.041832718725562
MEX,Zacatecas,2002,22.48634758604166879,1768.8606116471986623
MEX,Aguascalientes,2003,0.28586177772786459,37.186584260900134
MEX,Baja California Sur,2003,30.81310691603841316,5506.6422865636014838
MEX,Baja California,2003,692.23322457256959930,49448.79339616694741154
MEX,Campeche,2003,39031.48658214744720501,11813668.7837988333252881
MEX,Chiapas,2003,21880.60877210271305132,9354521.411259754669698
MEX,Chihuahua,2003,323.63791528931308921,54720.900277804524258
MEX,Coahuila,2003,766.03681875944118715,89162.9020379791535025
MEX,Colima,2003,140.90709989464408581,43829.455400852690108
MEX,Distrito Federal,2003,16.37780280673177122,9813.74487058366499
MEX,Durango,2003,418.80552592464733901,103214.3882731320506528
MEX,Guanajuato,2003,53.58132730756076144,10515.382855848907165
MEX,Guerrero,2003,1053.70299832753563763,396697.1382777662955616
MEX,Hidalgo,2003,1617.97090556175063723,659013.6559102961671047
MEX,Jalisco,2003,730.89558396390710242,252490.6826341842200104
MEX,M�xico,2003,213.67442867526476724,116899.338937768829810
MEX,Michoac�n,2003,1196.32936126173350737,497701.1564314621870486
MEX,Morelos,2003,155.40940367793719121,78137.753358534232524
MEX,Nayarit,2003,548.23925573193680944,164587.1831968507943075
MEX,Nuevo Le�n,2003,2210.72662319772820685,184686.7060098286734325
