event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
MEX64384,"23 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Michoacan de Ocampo",Senguio,,Senguio,19.7332,-100.352,1,MiMorelia,Subnational,"On 23 August 2022, in Senguio, Michoacan, armed men clashed with municipal police officers who were patrolling. The armed men were driving a fake patrol car and another vehicle. The men opened fire at the police. Two police officers were injured.",0,,1669050565
MEX64307,"22 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Puebla,Tehuacan,,Tehuacan,18.4622,-97.392,2,E-Consulta,Subnational,"On 22 August 2022, around Tehuacan, Puebla, there was an armed clash between municipal police and armed men who were driving a police patrol on the Tehuacan-Orizaba highway. There was a car chase. Two men were arrested and another two managed to escape. The fake state police patrol was seized. There were no casualties.",0,,1663001496
MEX64313,"22 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Sonora,Cajeme,,"Ciudad Obregon",27.4965,-109.9327,1,"Entorno Informativo",Subnational,"On 22 August 2022, in Ciudad Obregon, Sonora, there was an armed clash between armed men in two vehicles between colonias Cortinas and Constitucion (drive-by). One man was injured.",0,,1663001497
MEX64315,"22 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Military Forces of Mexico (2018-)",,"State forces","State forces-Political militia",,484,"North America",Mexico,Sonora,Empalme,,Empalme,27.9576,-110.8161,1,"Entorno Informativo",Subnational,"On 22 August 2022, in Empalme, Sonora, there was an armed clash between the military forces and four armed men in colonia Moderna. One man was injured. Four were arrested. Weapons were seized.",0,,1663001497
MEX64302,"22 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Nuevo Leon","Doctor Coss",,"La Lajilla",26.0792,-99.0612,2,Milenio,National,"On 22 August 2022, around La Lajilla, Nuevo Leon, at least five armed men shot at the state police on the road to Gracia de Dios. The police repelled the attack. One armed man was killed. 1 fatality.",1,,1663001498
MEX64319,"22 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","Police Forces of Mexico (2018-) State Police",,"State forces","State forces-Political militia",,484,"North America",Mexico,"Veracruz de Ignacio de la Llave",Veracruz,,Veracruz,19.1799,-96.1356,1,"Imagen del Golfo",Subnational,"On 22 August 2022, in Veracruz, Veracruz, there was an armed clash between the state police and armed men on the Veracruz-Xalapa highway. Two armed men were killed and another two were also injured. 2 fatalities.",2,,1712100278
MEX64318,"22 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Gang (Mexico)",,"Political militia","Unidentified Gang (Mexico)",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Tabasco,Cardenas,,Cardenas,17.9894,-93.3769,1,"Tabasco Hoy",Subnational,"On 22 August 2022, in Cardenas, Tabasco, a drug dealer was kidnapped by armed men inside his house which is used as a drug dealing point. The perpetrators tied his hands when leaving. The victim's whereabouts are unknown.",0,,1714445570
MEX64261,"21 August 2022",2022,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Mexico)",,"Political militia","La Union Tepito",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,"Ciudad de Mexico",Cuauhtemoc,,"Ciudad de Mexico - Cuauhtemoc",19.4313,-99.1531,1,"Antena San Luis",National,"On 21 August 2022, in Ciudad de Mexico - Cuauhtemoc, a member of the Union Tepito gang was shot and killed by two armed men in Colonia centro. The victim extorted and collected the 'right of floor 'of several merchants in the area. 1 fatality.",1,,1663001495
MEX64278,"21 August 2022",2022,2,"Political violence",Battles,"Armed clash","CDN: Cartel del Noreste",,"Political militia","CDN: Cartel del Noreste",,"Political militia","Political militia-Political militia",,484,"North America",Mexico,Tamaulipas,Victoria,,"Ciudad Victoria",23.7311,-99.1513,1,"Borderland Beat",National,"Around 21 August 2022 (as reported), in Ciudad Victoria, Tamaulipas, a man was killed and his body was found inside bags with a message signed by the Cartel del Noreste in Colonia Lopez Portillo. The victim had recently been released from prison and was a member of the CND. 1 fatality.",1,,1663001495
MEX64235,"20 August 2022",2022,1,"Political violence","Explosions/Remote violence",Grenade,"Unidentified Armed Group (Mexico)",,"Political militia","Policia Comunitaria","UPOEG: Union of People and Organizations of Guerrero","Identity militia","Political militia-Identity militia",,484,"North America",Mexico,Guerrero,"Chilpancingo de los Bravo",,"Buena Vista de la Salud",17.2608,-99.5008,1,"El Sol de Acapulco",Subnational,"On 20 August 2022, in Buena Vista de la Salud, Guerrero, individuals traveling in vehicles threw explosives at the community police station of the UPOEG. One exploded but there was no damage. There were no casualties.",0,,1663001496
